"cpd","compoundclass","ko","ec","reaction","referenceAG","compoundname","genesymbol","genename","enzyme_activity"
"C00038","Metal","K00001",NA,NA,"ATSDR","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00001",NA,NA,"EPA","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001","1.1.1.1",NA,"PSL","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001","1.1.1.1",NA,"IARC1","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001","1.1.1.1",NA,"IARC2B","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001",NA,"R00754","PSL","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001",NA,"R00754","IARC1","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00084","Aliphatic","K00001",NA,"R00754","IARC2B","Acetaldehyde","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00469","Aliphatic","K00001","1.1.1.1",NA,"IARC1","Ethanol","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00469","Aliphatic","K00001",NA,"R00754","IARC1","Ethanol","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001",NA,NA,"EPC","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001",NA,NA,"IARC2A","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001",NA,NA,"EPA","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001",NA,NA,"ATSDR","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001",NA,NA,"WFD","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00001",NA,NA,"PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00001",NA,NA,"PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06899","Aliphatic","K00001",NA,"R07105","IARC2A","Chloral hydrate","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06899","Aliphatic","K00001","1.1.1.1",NA,"IARC2A","Chloral hydrate","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06899","Chlorinated","K00001",NA,"R07105","IARC2A","Chloral hydrate","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06899","Chlorinated","K00001","1.1.1.1",NA,"IARC2A","Chloral hydrate","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C11344","Aliphatic","K00001",NA,NA,"PSL","Methyl tert-butyl ether","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001",NA,NA,"WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001",NA,NA,"ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001",NA,NA,"WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001",NA,NA,"ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001",NA,NA,"ATSDR","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001",NA,NA,"IARC2B","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14687","Aliphatic","K00001",NA,NA,"PSL","2-Ethoxyethanol","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19263","Aliphatic","K00001",NA,NA,"IARC2B","Methyl isobutyl ketone","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Nitrogen-containing","K00001",NA,NA,"IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Sulfur-containing","K00001",NA,NA,"IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Aliphatic","K00001",NA,NA,"IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00002",NA,NA,"EPA","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00002",NA,NA,"ATSDR","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002","1.1.1.2",NA,"IARC1","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002","1.1.1.2",NA,"PSL","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002","1.1.1.2",NA,"IARC2B","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002",NA,"R00746","PSL","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002",NA,"R00746","IARC1","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00084","Aliphatic","K00002",NA,"R00746","IARC2B","Acetaldehyde","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00469","Aliphatic","K00002","1.1.1.2",NA,"IARC1","Ethanol","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00469","Aliphatic","K00002",NA,"R00746","IARC1","Ethanol","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Aromatic","K00002",NA,NA,"IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Nitrogen-containing","K00002",NA,NA,"IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Nitrogen-containing","K00002",NA,NA,"IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Polyaromatic","K00002",NA,NA,"IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C08142","Inorganic","K00002",NA,NA,"PSL","Sodium fluoride","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C19249","Aliphatic","K00002",NA,NA,"IARC2B","2,4-Hexadienal","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00004",NA,NA,"ATSDR","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00004",NA,NA,"EPA","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00005",NA,NA,"ATSDR","Zinc cation","gldA","glycerol dehydrogenase","dehydrogenase"
