"cpd","compoundclass","ko","referenceAG","compoundname","genesymbol","genename","enzyme_activity"
"C00038","Metal","K00001","EPA","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00001","ATSDR","Zinc cation","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","ATSDR","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","WFD","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","EPC","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","EPA","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06696","Metal","K00001","IARC2A","Lead","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Sulfur-containing","K00001","PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C06747","Aromatic","K00001","PSL","Phenylmethanesulfonyl fluoride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C11344","Aliphatic","K00001","PSL","Methyl tert-butyl ether","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001","ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Metal","K00001","WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001","ATSDR","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C13377","Chlorinated","K00001","WFD","Mercuric chloride","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001","ATSDR","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14440","Aliphatic","K00001","IARC2B","1,4-Dioxane","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C14687","Aliphatic","K00001","PSL","2-Ethoxyethanol","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19263","Aliphatic","K00001","IARC2B","Methyl isobutyl ketone","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Nitrogen-containing","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Sulfur-containing","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C19302","Aliphatic","K00001","IARC2B","Thioacetamide","E1.1.1.1","alcohol dehydrogenase","dehydrogenase"
"C00038","Metal","K00002","ATSDR","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00002","EPA","Zinc cation","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Aromatic","K00002","IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07434","Nitrogen-containing","K00002","IARC2B","Phenobarbital","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Polyaromatic","K00002","IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C07443","Nitrogen-containing","K00002","IARC2B","Phenytoin","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C08142","Inorganic","K00002","PSL","Sodium fluoride","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C19249","Aliphatic","K00002","IARC2B","2,4-Hexadienal","AKR1A1","alcohol dehydrogenase (NADP+)","dehydrogenase"
"C00038","Metal","K00004","ATSDR","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00004","EPA","Zinc cation","BDH","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase","dehydrogenase"
"C00038","Metal","K00005","ATSDR","Zinc cation","gldA","glycerol dehydrogenase","dehydrogenase"
"C00038","Metal","K00005","EPA","Zinc cation","gldA","glycerol dehydrogenase","dehydrogenase"
"C13377","Metal","K00005","ATSDR","Mercuric chloride","gldA","glycerol dehydrogenase","dehydrogenase"
